area,rooms,location,price
3674,4,A,811276.2833108993
1360,1,A,309142.33595942496
1794,1,B,330485.5486146727
1630,2,A,379302.6778075648
1595,1,C,233904.40498564852
3592,3,A,837813.3850612517
2138,4,A,526239.1179402957
2669,1,C,367742.104923015
966,1,B,142099.21149554642
1738,2,A,404138.7094951293
830,6,B,203425.81944567015
1982,2,B,398299.86989566503
2635,3,B,494399.7901710217
3944,4,A,891166.1316400572
3671,2,A,791298.5461386228
3419,1,B,547864.0377499827
630,4,C,119111.11093896054
2185,4,B,414829.8428297234
3880,1,A,772912.5972097256
1269,2,B,266636.41878957034
2891,1,B,549026.3200525414
2015,6,A,424801.8212888775
3985,4,A,834843.533469594
3353,5,B,610134.8739269942
2933,5,A,648452.5725309519
1715,3,A,397977.1930149502
1455,1,A,313399.7789032769
2824,1,A,572325.4444153283
1684,3,A,422292.1902053547
959,3,C,173400.49815728547
3885,3,C,537682.7407581519
521,4,A,194560.75343982462
2800,6,C,422747.82135318744
1247,1,B,178499.78449883402
3404,4,A,760345.3546926321
974,3,A,245134.72869667996
1582,1,A,358177.5067665654
3058,4,A,703070.5337995746
2547,6,B,495738.7418573308
3247,4,B,590019.8092434752
1475,6,A,352537.38599075505
2306,3,C,320887.6717628834
689,6,B,195955.94748777355
3505,1,A,753353.6953209967
3234,3,C,491197.37218458764
3505,1,C,431956.6853311721
1062,5,C,178346.40852747217
2399,2,A,581000.5670573167
1767,6,B,368130.9945704232
3379,2,B,586401.5135293746
2028,2,B,375857.7310090902
3702,6,C,626023.5157759854
1146,3,B,279031.48626861087
2568,5,C,349294.3772806222
3388,1,C,431064.96522791893
2714,4,C,357987.6803334762
1797,1,A,364956.76333179214
2935,4,A,657997.5789595677
1100,1,A,248260.45432203385
2863,6,C,400590.6377043824
2561,5,A,531789.4452089267
741,4,B,139321.25839133648
2541,3,A,591095.1379681387
3324,1,B,591170.8873508094
3917,1,C,589969.7457801306
3112,4,C,459150.09247224656
3445,3,A,778294.6047117031
1863,3,C,311801.8488314898
2639,6,B,480529.2290198214
1890,6,A,468535.346445914
3503,6,B,657756.1537712927
1978,6,A,448105.27148744627
3999,6,A,949052.8851332233
3056,6,B,563075.6315183992
1275,5,A,320361.0568444002
534,3,A,113719.75860173626
2753,6,A,614747.214123674
3652,3,A,731024.5619750398
2455,3,A,547204.6762925583
2085,2,B,439195.67628925917
3959,5,B,672676.4165568654
3573,6,B,738830.9078446492
1521,1,C,257762.53787837242
3961,4,B,679357.3365706868
3113,1,B,524462.9411445664
1629,5,A,388036.9907625519
2000,4,A,511184.91920193133
1202,5,A,317930.4719035388
2949,3,A,684749.2214586544
3277,4,B,591450.1553608405
2079,3,A,463230.8243821615
661,1,C,109027.70095212143
701,1,C,92426.67298383756
2481,4,B,405798.87869587314
1495,4,A,378360.6572786995
2817,6,A,606535.0665497074
1315,5,C,219459.97469614472
3842,6,C,565474.0713715375
955,5,A,269850.6179316221
1775,6,B,399816.13754800585
1516,3,A,384509.11941902246
2843,4,A,657202.7505668527
3267,1,A,677173.8506313765
837,5,A,220265.9253921061
1378,5,C,226151.78878832547
1576,1,B,255931.5565981167
1291,6,A,319036.4667411949
2764,5,B,493185.85894797236
1263,3,C,186302.21421898511
2735,4,C,437781.4905408566
879,1,A,162950.89333401722
992,4,A,226435.7769308851
3612,5,A,761017.7983688146
1680,5,A,445264.4840753255
2562,1,A,524124.9112402724
564,3,B,142883.25695166423
3068,2,A,678539.5658063692
1867,1,A,441635.15863272315
1652,2,A,360619.4990487472
2527,6,A,562243.8063814227
3195,2,A,644277.5007238511
1995,3,A,365410.930656537
3634,6,A,827980.596776367
1662,2,A,392284.1771746674
2022,6,A,498770.6431559352
3140,2,B,492207.07090481574
